edition,edition_id,edition_url,year,city,country_flag_url,country_noc,start_date,end_date,competition_date,isHeld
1968 Summer Olympics,17,/editions/17,1968,Ciudad de México,/images/flags/MEX.png,MEX,12-Oct,27-Oct,12 – 27 October,
1972 Summer Olympics,18,/editions/18,1972,München,/images/flags/FRG.png,FRG,26-Aug,11-Sep,26 August – 11 September,
1976 Summer Olympics,19,/editions/19,1976,Montréal,/images/flags/CAN.png,CAN,17-Jul,01-Aug,18 July –  1 August,
1980 Summer Olympics,20,/editions/20,1980,Moskva,/images/flags/URS.png,URS,19-Jul,03-Aug,20 July –  3 August,
1984 Summer Olympics,21,/editions/21,1984,Los Angeles,/images/flags/USA.png,USA,28-Jul,12-Aug, 6 July – 12 August,
1988 Summer Olympics,22,/editions/22,1988,Seoul,/images/flags/KOR.png,KOR,17-Sep,02-Oct,17 September –  2 October,
1992 Summer Olympics,23,/editions/23,1992,Barcelona,/images/flags/ESP.png,ESP,25-Jul,09-Aug,24 July –  9 August,
1996 Summer Olympics,24,/editions/24,1996,Atlanta,/images/flags/USA.png,USA,19-Jul,04-Aug,20 July –  4 August,
2000 Summer Olympics,25,/editions/25,2000,Sydney,/images/flags/AUS.png,AUS,15-Sep,01-Oct,13 September –  1 October,
2004 Summer Olympics,26,/editions/26,2004,Athina,/images/flags/GRE.png,GRE,13-Aug,29-Aug,11 – 29 August,
2008 Summer Olympics,53,/editions/53,2008,Beijing,/images/flags/CHN.png,CHN,08-Aug,24-Aug,6 – 24 August,
2012 Summer Olympics,54,/editions/54,2012,London,/images/flags/GBR.png,GBR,27-Jul,12-Aug,25 July – 12 August,
2016 Summer Olympics,59,/editions/59,2016,Rio de Janeiro,/images/flags/BRA.png,BRA,05-Aug,21-Aug,3 – 21 August,
2020 Summer Olympics,61,/editions/61,2020,Tokyo,/images/flags/JPN.png,JPN,23-Jul-21, 8 August 2021,21 July –  8 August 2021,
2024 Summer Olympics,63,/editions/63,2024,Paris,/images/flags/FRA.png,FRA,,,—,
2028 Summer Olympics,64,/editions/64,2028,Los Angeles,/images/flags/USA.png,USA,,,—,
2032 Summer Olympics,372,/editions/372,2032,Brisbane,/images/flags/AUS.png,AUS,,,—,
1924 Winter Olympics,29,/editions/29,1924,Chamonix,/images/flags/FRA.png,FRA,24-Jan,05-Feb,26 January –  4 February,
1928 Winter Olympics,30,/editions/30,1928,Sankt Moritz,/images/flags/SUI.png,SUI,11-Feb,17-Feb,11 – 19 February,
